SID,Passed
26000182,P
26342027,P
25529536,P
26701016,P
26325690,P
26142898,P
24635530,P
3032250404,P
26889306,P
24758044,P
25380543,P
26808282,P
25604924,P
24595526,P
26277194,P
25957000,P
26109449,P
26136546,P
3031842568,P
25033261,P
24460237,P
26804642,P
26878467,P
25794068,P
3031829334,P
26678509,P
26648708,P
26301127,P
3032353273,P
3032526680,P
26085297,P
3032435212,P
26275534,P
24137206,P
24633654,P
24322241,P
3032260999,P
26125374,P
24520396,P
26364805,P
24244079,P
26247515,P
25867157,P
26117608,P
26137517,P
25954462,P
24605208,P
23464871,P
25987405,P
23812483,P
25295843,P
26251801,P
25483433,P
26238250,P
21924667,P
25380192,P
26848357,P
3031944046,P
24304621,P
24222055,P
25903194,P
26231270,P
3031790711,P
26356813,P
24384538,P
24261753,P
24328972,P
25073089,P
24839656,P
24819983,P
24733395,P
26705083,P
24412625,P
24292858,P
24579851,P
26379568,P
25278169,P
26379384,P
24357122,P
24488999,P
26476703,P
25716506,P
25624871,P
24575808,P
26269282,P
24456552,P
24699314,P
25082177,P
26328172,P
25831354,P
25844402,P
26692916,P
25571146,P
26768174,P
3032395458,P
26020428,P
24269259,P
25675823,P
25391222,P
26291247,P
25989225,P
25185418,P
24427159,P
25209535,P
25775137,P
26324278,P
3031836419,P
26733731,P
23636623,P
3031791647,P
3032280512,P
3032019615,P
26206486,P
23768065,P
26532517,P
26397508,P
26027571,P
26378726,P
25114397,P
25841208,P
23855894,P
25162305,P
25271578,P
26759291,P
26352742,P
23572028,P
26190837,P
24365336,P
25202739,P
3031823211,P
24208839,P
26752100,P
25561938,P
25371646,P
26387296,P
23628013,P
26241131,P
24394000,P
24200468,P
24281186,P
25818494,P
25671658,P
25365412,P
3031936480,P
24243362,P
23850603,P
26028702,P
26137562,P
24205340,P
26293845,P
25167336,P
3032550301,P
24157177,P
25858083,P
26034665,P
25706572,P
25032196,P
24892858,P
25446420,P
24547143,P
25557968,P
24459985,P
3032263599,P
24386365,P
15468699,P
26792497,P
25721634,P
23956051,P
26096865,P
25631743,P
26837123,P
26461786,P
25514397,P
26800540,P
3032335892,P
26786676,P
24402875,P
23758222,P
23614314,P
26786558,P
3032222194,P
26019381,P
26074334,P
23681888,P
26576833,P
25557086,P
25772346,P
11575739,P
3032527642,P
26614763,P
3031783860,P
3032349191,P
25101725,P
24742209,P
26255316,P
24603117,P
26665357,P
25338544,P
24868462,P
26281331,P
26550248,P
24508921,P
24237652,P
26470138,P
24277852,P
26058492,P
23703876,P
20459672,P
3032261519,P
25167763,P
23368572,P
24523076,P
3032019516,NP
265550248,NP
26173108,NP
24491245,NP
2620648,NP
26576833,NP
3032335892,NP
24227852,NP
3031923116,NP
26206846,NP
26419909,NP
3031804790,NP
267337131,NP
24645530,NP
26577373,NP
0,NP
24629295,NP
25276738,NP
252767638,NP
3032436212,NP
24304631,NP
24800739,NP
24293858,NP
24147650,NP
25203739,NP
26995900,NP
25475132,NP
26354166,NP
26795844,NP
24386363,NP
25243097,NP
25185178,NP
24405104,NP
24527147,NP
26596195,NP
3032371109,NP
24491244,NP
25173428,NP
25101527,NP
24839646,NP
26514133,NP
24402975,NP
25114396,NP
26091292,NP
3032526823,NP
25475809,NP
110111101101011,NP
303255031,NP
3131823211,NP
25557168,NP
3031777776,NP
24365909,NP
26596193,NP
26301137,NP
3022550301,NP
30302353273,NP
26805040,NP
23461184,NP
26228351,NP
26135780,NP
26379544,NP
3032272153,NP
2571146,NP
3032452112,NP
